chr	strand	exonStart	exonEnd	firstFlankingES	firstFlankingEE	secondFlankingES	secondFlankingEE
chr3	-	130020537	130020642	130011791	130011872	130033830	130033974
chr19	-	6939528	6939754	6939260	6939410	6940351	6940482
chr7	-	128446730	128447107	128446194	128446270	128448120	128448208
chr2	-	29783311	29783373	29782119	29782201	29784952	29785027
chr9	+	21587850	21587919	21587507	21587585	21588048	21588200
chr7	-	126797973	126798126	126797643	126797776	126800001	126800036
chr17	+	69274100	69274166	69270610	69270664	69274703	69274895
chr10	-	127096914	127097079	127096629	127096742	127097931	127098121
chr5	+	76557818	76557863	76554099	76554205	76559003	76559167
chr1	+	91110354	91110447	91107297	91107390	91112155	91112297
chr2	-	156096417	156098372	156079338	156079464	156103348	156103397
chr12	+	59144698	59144770	59137697	59137786	59146846	59146957
chr4	-	155083108	155083236	155082687	155082754	155086204	155086382
chr19	-	46338312	46338420	46332617	46332701	46338568	46338660
chr1	+	40001429	40001591	40000623	40000749	40004806	40004913
chr2	-	102832482	102832572	102831329	102831536	102853014	102853236
chr10	-	128699975	128700119	128699471	128699675	128701342	128701444
chr16	-	5036235	5036475	5031886	5031973	5036918	5037057
chr11	+	70702371	70702551	70700560	70700709	70702771	70702905
chr15	+	99399656	99399871	99392985	99393040	99401579	99401663
chr6	-	119953770	119954232	119952684	119952969	119956070	119956196
chr2	+	181511573	181511615	181508165	181508267	181513038	181513087
chr19	+	53244309	53244405	53242503	53242627	53244997	53247399
chr11	+	70702431	70702551	70700649	70700709	70702771	70702905
chr4	-	116610402	116611377	116605683	116605763	116611971	116612081
chr5	+	149187707	149187834	149184666	149184806	149188344	149188473
chr11	+	70702445	70702551	70700547	70700709	70702771	70702905
chr19	-	7281797	7281959	7280997	7281255	7282725	7282823
chr9	-	31167560	31167728	31164542	31164673	31168707	31168916
chr4	-	55531629	55531750	55529998	55530983	55531866	55532466
chr2	+	130278412	130278531	130278155	130278290	130278896	130279279
chr11	+	80393083	80393176	80391834	80391992	80394285	80394531
chr5	+	34629135	34629172	34628414	34628513	34630469	34632305
chr4	-	155083108	155083317	155082666	155082754	155086204	155086371
chr5	-	138261552	138261716	138260834	138260989	138261801	138261884
chr8	+	83924205	83924355	83923091	83923108	83929463	83930052
chr14	-	20503246	20503276	20499867	20501662	20508623	20508721
chr9	-	67047785	67047911	67035994	67036128	67048123	67048249
chr8	+	25555468	25555774	25532249	25532428	25557730	25557814
chr10	+	81317325	81317403	81314991	81315118	81317765	81318020
chr19	+	47627647	47627740	47625304	47625484	47635468	47635598
chr9	-	45946505	45946568	45945665	45945784	45946744	45946816
chr2	-	102831329	102831536	102828541	102828610	102853014	102853236
chr1	+	34301860	34301932	34299720	34299838	34302829	34303032
chr12	-	51643103	51643214	51633578	51633719	51647993	51648135
chr11	-	100503159	100503189	100498620	100498762	100504202	100504293
chr2	+	30001099	30001159	29999913	30000062	30002230	30002429
chr6	-	131375973	131376180	131370322	131370414	131379357	131379480
chr18	+	32414944	32415037	32414182	32414290	32419842	32419928
chr3	+	159522525	159523356	159520829	159520970	159523776	159523949
chr2	+	32229262	32229344	32226944	32227036	32230610	32234536
chr10	+	18107667	18107748	18104153	18104275	18114398	18114486
chr11	-	70236876	70236978	70236023	70236211	70237530	70237625
chr16	-	84971407	84971461	84965669	84965770	84978063	84978285
chr11	-	79243399	79243575	79241983	79242156	79244462	79244563
chr6	-	51461919	51462055	51461123	51461433	51463410	51463493
chr6	+	71853172	71853268	71852762	71852867	71856911	71857048
chr5	+	34629138	34629172	34628414	34628513	34630469	34630816
chr18	+	32426223	32426352	32424819	32424967	32431670	32431742
chr6	-	119952684	119952969	119951897	119951995	119956070	119956196
chr13	-	58180821	58180905	58179552	58179668	58183181	58183324
chr8	+	25555507	25555774	25532249	25532428	25557730	25557820
chr6	+	71866725	71866740	71863140	71863270	71868579	71868803
chr11	-	4780577	4780622	4767664	4768273	4782186	4782352
chr11	+	50385140	50385190	50384643	50384736	50385776	50386321
chr1	-	71603659	71603929	71602309	71602497	71604969	71605083
chr3	+	60528755	60529804	60501251	60501423	60595593	60595764
chr10	+	18107670	18107748	18104153	18104275	18114398	18114486
chr16	-	3982978	3983242	3981584	3981687	3984990	3987181
chr12	+	106073618	106073678	106070524	106070615	106075006	106077410
chr4	+	107027216	107027297	107009678	107009768	107028192	107028252
chr9	+	118059619	118059666	118059056	118059175	118061713	118062489
chr5	-	123613067	123615335	123611821	123611938	123617335	123617551
chr11	-	70236887	70236978	70236023	70236211	70237530	70237625
chr5	-	100373379	100373715	100368293	100368352	100375207	100375331
chr8	-	84723727	84723850	84721642	84721818	84726468	84726605
chr4	-	123354478	123354580	123351821	123351951	123355055	123355267
chrX	-	74232966	74232990	74230505	74230753	74233148	74233338
chr5	-	134624440	134624500	134621948	134622086	134625365	134625462
chr3	-	89340400	89340472	89340054	89340179	89341507	89341577
chr8	+	25563373	25563524	25562137	25562328	25564339	25564484
chr5	-	30955929	30956089	30950852	30955737	30956261	30956334
chr5	+	149187707	149187876	149184559	149184806	149188344	149188473
chrX	+	56791238	56791438	56790463	56790650	56791843	56793338
chr7	-	44491162	44491249	44490110	44490970	44491954	44492048
chr11	-	69920340	69920434	69919150	69919336	69920800	69920940
chr2	-	156098229	156098372	156079338	156079464	156103348	156103429
chr15	-	75897225	75897282	75896819	75896919	75901131	75901252
chr9	+	44141274	44141392	44140844	44140992	44141783	44142727
chrX	+	144336111	144336463	144322011	144322150	144337091	144337175
chr16	+	18405101	18405221	18404459	18404545	18405606	18407076
chr10	-	63018759	63018898	63018040	63018225	63019392	63019527
chr3	+	60622145	60622240	60615619	60615773	60625123	60625198
chr11	+	87137589	87137630	87129715	87129817	87140484	87140601
chr8	-	34104985	34105098	34097188	34097294	34106341	34106406
chr16	+	23112350	23112457	23111816	23111896	23113166	23113930
chr1	-	71613762	71614035	71612467	71612650	71615359	71615551
chr11	-	69920340	69920422	69919150	69919336	69920800	69920919
chr3	+	90091012	90091091	90090009	90090079	90099527	90100896
chr7	+	90182218	90182368	90177499	90177603	90189149	90189257
